,lon,lat,month,observation
0,-179.5,89.5,1,-1.687
1,-178.5,89.5,1,-1.687
2,-177.5,89.5,1,-1.687
3,-176.5,89.5,1,-1.687
4,-175.5,89.5,1,-1.687
5,-174.5,89.5,1,-1.687
6,-173.5,89.5,1,-1.687
7,-172.5,89.5,1,-1.687
8,-171.5,89.5,1,-1.687
9,-170.5,89.5,1,-1.687
10,-169.5,89.5,1,-1.687
11,-168.5,89.5,1,-1.687
12,-167.5,89.5,1,-1.687
13,-166.5,89.5,1,-1.687
14,-165.5,89.5,1,-1.687
15,-164.5,89.5,1,-1.687
16,-163.5,89.5,1,-1.687
17,-162.5,89.5,1,-1.687
18,-161.5,89.5,1,-1.6850001
19,-160.5,89.5,1,-1.6850001
20,-159.5,89.5,1,-1.6850001
21,-158.5,89.5,1,-1.6850001
22,-157.5,89.5,1,-1.6850001
23,-156.5,89.5,1,-1.6850001
24,-155.5,89.5,1,-1.6850001
25,-154.5,89.5,1,-1.6850001
26,-153.5,89.5,1,-1.6850001
27,-152.5,89.5,1,-1.682
28,-151.5,89.5,1,-1.682
29,-150.5,89.5,1,-1.682
30,-149.5,89.5,1,-1.682
31,-148.5,89.5,1,-1.682
32,-147.5,89.5,1,-1.682
33,-146.5,89.5,1,-1.687
34,-145.5,89.5,1,-1.687
35,-144.5,89.5,1,-1.687
36,-143.5,89.5,1,-1.687
37,-142.5,89.5,1,-1.687
38,-141.5,89.5,1,-1.687
39,-140.5,89.5,1,-1.687
40,-139.5,89.5,1,-1.687
41,-138.5,89.5,1,-1.687
42,-137.5,89.5,1,-1.69
43,-136.5,89.5,1,-1.69
44,-135.5,89.5,1,-1.69
45,-134.5,89.5,1,-1.69
46,-133.5,89.5,1,-1.69
47,-132.5,89.5,1,-1.69
48,-131.5,89.5,1,-1.69
49,-130.5,89.5,1,-1.69
50,-129.5,89.5,1,-1.69
51,-128.5,89.5,1,-1.69
52,-127.5,89.5,1,-1.69
53,-126.5,89.5,1,-1.69
54,-125.5,89.5,1,-1.69
55,-124.5,89.5,1,-1.69
56,-123.5,89.5,1,-1.69
57,-122.5,89.5,1,-1.69
58,-121.5,89.5,1,-1.69
59,-120.5,89.5,1,-1.69
60,-119.5,89.5,1,-1.69
61,-118.5,89.5,1,-1.69
62,-117.5,89.5,1,-1.69
63,-116.5,89.5,1,-1.69
64,-115.5,89.5,1,-1.69
65,-114.5,89.5,1,-1.69
66,-113.5,89.5,1,-1.69
67,-112.5,89.5,1,-1.69
68,-111.5,89.5,1,-1.69
69,-110.5,89.5,1,-1.69
70,-109.5,89.5,1,-1.69
71,-108.5,89.5,1,-1.69
72,-107.5,89.5,1,-1.69
73,-106.5,89.5,1,-1.69
74,-105.5,89.5,1,-1.69
75,-104.5,89.5,1,-1.69
76,-103.5,89.5,1,-1.69
77,-102.5,89.5,1,-1.69
78,-101.5,89.5,1,-1.69
79,-100.5,89.5,1,-1.69
80,-99.5,89.5,1,-1.692
81,-98.5,89.5,1,-1.692
82,-97.5,89.5,1,-1.692
83,-96.5,89.5,1,-1.692
84,-95.5,89.5,1,-1.692
85,-94.5,89.5,1,-1.692
86,-93.5,89.5,1,-1.692
87,-92.5,89.5,1,-1.692
88,-91.5,89.5,1,-1.69
89,-90.5,89.5,1,-1.69
90,-89.5,89.5,1,-1.687
91,-88.5,89.5,1,-1.687
92,-87.5,89.5,1,-1.682
93,-86.5,89.5,1,-1.682
94,-85.5,89.5,1,-1.6850001
95,-84.5,89.5,1,-1.6850001
96,-83.5,89.5,1,-1.6850001
97,-82.5,89.5,1,-1.6850001
98,-81.5,89.5,1,-1.6850001
99,-80.5,89.5,1,-1.6850001
100,-79.5,89.5,1,-1.687
101,-78.5,89.5,1,-1.687
102,-77.5,89.5,1,-1.69
103,-76.5,89.5,1,-1.687
104,-75.5,89.5,1,-1.69
105,-74.5,89.5,1,-1.687
106,-73.5,89.5,1,-1.69
107,-72.5,89.5,1,-1.687
108,-71.5,89.5,1,-1.682
109,-70.5,89.5,1,-1.6800001
110,-69.5,89.5,1,-1.6800001
111,-68.5,89.5,1,-1.677
112,-67.5,89.5,1,-1.6750001
113,-66.5,89.5,1,-1.677
114,-65.5,89.5,1,-1.677
115,-64.5,89.5,1,-1.682
116,-63.5,89.5,1,-1.682
117,-62.5,89.5,1,-1.6850001
118,-61.5,89.5,1,-1.687
119,-60.5,89.5,1,-1.687
120,-59.5,89.5,1,-1.687
121,-58.5,89.5,1,-1.687
122,-57.5,89.5,1,-1.687
123,-56.5,89.5,1,-1.692
124,-55.5,89.5,1,-1.697
125,-54.5,89.5,1,-1.7070001
126,-53.5,89.5,1,-1.715
127,-52.5,89.5,1,-1.7170001
128,-51.5,89.5,1,-1.72
129,-50.5,89.5,1,-1.72
130,-49.5,89.5,1,-1.72
131,-48.5,89.5,1,-1.715
132,-47.5,89.5,1,-1.7120001
133,-46.5,89.5,1,-1.7120001
134,-45.5,89.5,1,-1.7070001
135,-44.5,89.5,1,-1.705
136,-43.5,89.5,1,-1.702
137,-42.5,89.5,1,-1.697
138,-41.5,89.5,1,-1.695
139,-40.5,89.5,1,-1.695
140,-39.5,89.5,1,-1.695
141,-38.5,89.5,1,-1.695
142,-37.5,89.5,1,-1.695
143,-36.5,89.5,1,-1.695
144,-35.5,89.5,1,-1.695
145,-34.5,89.5,1,-1.695
146,-33.5,89.5,1,-1.695
147,-32.5,89.5,1,-1.692
148,-31.5,89.5,1,-1.692
149,-30.5,89.5,1,-1.692
150,-29.5,89.5,1,-1.692
151,-28.5,89.5,1,-1.687
152,-27.5,89.5,1,-1.69
153,-26.5,89.5,1,-1.69
154,-25.5,89.5,1,-1.69
155,-24.5,89.5,1,-1.695
156,-23.5,89.5,1,-1.692
157,-22.5,89.5,1,-1.692
158,-21.5,89.5,1,-1.692
159,-20.5,89.5,1,-1.695
160,-19.5,89.5,1,-1.695
161,-18.5,89.5,1,-1.692
162,-17.5,89.5,1,-1.692
163,-16.5,89.5,1,-1.692
164,-15.5,89.5,1,-1.692
165,-14.5,89.5,1,-1.692
166,-13.5,89.5,1,-1.692
167,-12.5,89.5,1,-1.692
168,-11.5,89.5,1,-1.69
169,-10.5,89.5,1,-1.687
170,-9.5,89.5,1,-1.687
171,-8.5,89.5,1,-1.6850001
172,-7.5,89.5,1,-1.682
173,-6.5,89.5,1,-1.682
174,-5.5,89.5,1,-1.6800001
175,-4.5,89.5,1,-1.6800001
176,-3.5,89.5,1,-1.677
177,-2.5,89.5,1,-1.677
178,-1.5,89.5,1,-1.677
179,-0.5,89.5,1,-1.677
180,0.5,89.5,1,-1.677
181,1.5,89.5,1,-1.677
182,2.5,89.5,1,-1.677
183,3.5,89.5,1,-1.677
184,4.5,89.5,1,-1.677
185,5.5,89.5,1,-1.677
186,6.5,89.5,1,-1.677
187,7.5,89.5,1,-1.677
188,8.5,89.5,1,-1.6800001
189,9.5,89.5,1,-1.6800001
190,10.5,89.5,1,-1.677
191,11.5,89.5,1,-1.682
192,12.5,89.5,1,-1.6850001
193,13.5,89.5,1,-1.682
194,14.5,89.5,1,-1.6850001
195,15.5,89.5,1,-1.6850001
196,16.5,89.5,1,-1.687
197,17.5,89.5,1,-1.687
198,18.5,89.5,1,-1.69
199,19.5,89.5,1,-1.69
200,20.5,89.5,1,-1.69
201,21.5,89.5,1,-1.692
202,22.5,89.5,1,-1.69
203,23.5,89.5,1,-1.695
204,24.5,89.5,1,-1.695
205,25.5,89.5,1,-1.695
206,26.5,89.5,1,-1.695
207,27.5,89.5,1,-1.697
208,28.5,89.5,1,-1.697
209,29.5,89.5,1,-1.695
210,30.5,89.5,1,-1.69
211,31.5,89.5,1,-1.69
212,32.5,89.5,1,-1.69
213,33.5,89.5,1,-1.69
214,34.5,89.5,1,-1.69
215,35.5,89.5,1,-1.69
216,36.5,89.5,1,-1.69
217,37.5,89.5,1,-1.69
218,38.5,89.5,1,-1.687
219,39.5,89.5,1,-1.687
220,40.5,89.5,1,-1.687
221,41.5,89.5,1,-1.69
222,42.5,89.5,1,-1.687
223,43.5,89.5,1,-1.69
224,44.5,89.5,1,-1.69
225,45.5,89.5,1,-1.69
226,46.5,89.5,1,-1.69
227,47.5,89.5,1,-1.69
228,48.5,89.5,1,-1.69
229,49.5,89.5,1,-1.69
230,50.5,89.5,1,-1.69
231,51.5,89.5,1,-1.69
232,52.5,89.5,1,-1.69
233,53.5,89.5,1,-1.687
234,54.5,89.5,1,-1.687
235,55.5,89.5,1,-1.682
236,56.5,89.5,1,-1.682
237,57.5,89.5,1,-1.682
238,58.5,89.5,1,-1.682
239,59.5,89.5,1,-1.682
240,60.5,89.5,1,-1.687
241,61.5,89.5,1,-1.687
242,62.5,89.5,1,-1.687
243,63.5,89.5,1,-1.687
244,64.5,89.5,1,-1.687
245,65.5,89.5,1,-1.687
246,66.5,89.5,1,-1.687
247,67.5,89.5,1,-1.687
248,68.5,89.5,1,-1.687
249,69.5,89.5,1,-1.687
250,70.5,89.5,1,-1.687
251,71.5,89.5,1,-1.687
252,72.5,89.5,1,-1.6850001
253,73.5,89.5,1,-1.6800001
254,74.5,89.5,1,-1.6800001
255,75.5,89.5,1,-1.6800001
256,76.5,89.5,1,-1.6800001
